release_year,release_month,country_x,count_movies,title_x,avg_vote
2017.0,Sep,United Kingdom,4,the forgotten,5.1
2019.0,Sep,Nigeria,4,the bridge,6.3
2019.0,Sep,Nigeria,4,phone swap,6.1
2019.0,Nov,Nigeria,3,payday,7.1
2019.0,Nov,Nigeria,3,crazy people,6.1
2018.0,Jun,United Kingdom,3,calibre,6.8
2018.0,Jun,United Kingdom,3,the darkest dawn,4.1
2017.0,Jun,Mexico,3,the incident,7.7
2017.0,Jun,Mexico,3,y tu mamá también,7.6
2018.0,Jun,India,3,lust stories,6.5
2018.0,Jun,India,3,b.a. pass,6.4
2019.0,May,United Kingdom,3,all the devil's men,5.1
2019.0,May,United Kingdom,3,two graves,4.2
2017.0,Jul,Pakistan,3,waar,7.9
2017.0,Jul,Pakistan,3,ho mann jahaan,7.1
2018.0,Dec,Singapore,3,the apartment,8.3
2018.0,Dec,Singapore,3,lang tong,5.1
2018.0,Dec,United Kingdom,3,bad education,7.1
2018.0,Dec,United Kingdom,3,flowers,6.6
2017.0,Aug,Canada,3,below her mouth,5.5
2017.0,Aug,Canada,3,sadie's last days on earth,5.3
2019.0,Jul,Canada,3,mean dreams,6.3
2019.0,Jul,Canada,3,blown away,6.3
2019.0,Apr,United Kingdom,3,about time,7.8
2019.0,Apr,United Kingdom,3,a little chaos,6.5
2018.0,Oct,Indonesia,3,surat dari praha,7.2
2018.0,Oct,Indonesia,3,garuda di dadaku,6.7
2016.0,Sep,United States,3,person of interest,5.7
2016.0,Sep,United States,3,holy hell,4.2
2016.0,Feb,United States,3,lila & eve,5.8
2016.0,Feb,United States,3,french dirty,5.1
2018.0,Oct,United Kingdom,3,bodyguard,6.5
2018.0,Oct,United Kingdom,3,wanderlust,5.6
2016.0,Nov,Australia,3,the interview,7.1
2016.0,Nov,Australia,3,the last days of chez nous,6.5
2019.0,Jun,Germany,3,alles ist gut,6.5
2019.0,Jun,Germany,3,rock my heart,6.5
2016.0,Mar,United States,3,blue mountain state: the rise of thadland,5.8
2016.0,Mar,United States,3,chicken little,5.7
2017.0,May,United Kingdom,3,mindhorn,6.3
2017.0,May,United Kingdom,3,the hunt,4.4
2019.0,Jun,Egypt,2,good luck,6.3
2019.0,Jun,Egypt,2,the cell,6.3
